inst_id,cell_type,major_axis_length,minor_axis_length,major_minor_ratio,orientation_degree,area,extent,solidity,convex_area,eccentricity,equivalent_diameter,perimeter,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,contrast,homogeneity,dissimilarity,ASM,energy,correlation,heterogeneity
38,2,18.22840174336929,8.580401534150168,2.124422927157883,93.55014248096283,115,0.756578947368421,0.9663865546218487,119,0.8822847536066428,12.100518486599809,43.935028842544405,74.13913043478261,19.8068442086246,45,118,21.347826086956523,11.42921008207431,5,49,59.426086956521736,12.874687582239217,41,92,0,1,0,1,1,1,0
39,3,25.505683118482008,18.838827962972683,1.3538890619210966,113.23124635605194,377,0.754,0.9716494845360825,388,0.6741297379168382,21.909160375631842,70.76955262170047,101.72679045092838,16.871401525467373,78,153,32.12732095490716,13.867494250999249,9,76,74.3368700265252,12.765817411432998,52,115,0,1,0,1,1,1,0
40,3,46.38818869860541,17.807419089819778,2.6049922487153014,60.793595991505256,634,0.526578073089701,0.9533834586466166,665,0.9233836957600429,28.41186145542198,111.05382386916237,131.98422712933754,17.909421690438577,99,178,57.46687697160883,13.997848213207842,30,99,100.58675078864353,13.099939118180618,75,138,0,1,0,1,1,1,0
41,2,30.438349612325645,20.973869789055847,1.4512510051058083,80.23188497280404,501,0.7952380952380952,0.9690522243713733,517,0.7247036521804302,25.25654394235911,82.76955262170047,92.6506986027944,23.75229255687886,48,163,34.003992015968066,19.351563709321898,1,92,77.42315369261478,18.546929816632325,43,132,0,1,0,1,1,1,0
42,1,32.67474381717584,9.14468397359212,3.573086168044021,96.01075987798907,164,0.5521885521885522,0.6776859504132231,242,0.9600378765901822,14.450303987687134,69.698484809835,118.7439024390244,8.727320399546215,102,151,36.8780487804878,6.76863325884498,18,65,77.4329268292683,8.08275120509264,52,100,0,1,0,1,1,1,0
43,1,29.236164825204277,21.17097541128117,1.3809550224892089,177.84679244581366,478,0.7848932676518884,0.9540918163672655,501,0.6896566268238156,24.669991941291908,82.18376618407358,95.18410041841004,20.579766191383424,59,142,23.37866108786611,11.31818826734266,0,57,60.33891213389121,13.315223633364386,29,99,0,1,0,1,1,1,0
44,3,31.079917445904567,14.036303902971433,2.2142522462288,114.25568772766738,334,0.6398467432950191,0.9515669515669516,351,0.8922105245539578,20.62188177498708,75.94112549695429,86.10179640718563,20.261947678321278,49,167,24.206586826347305,16.929295155381695,1,86,60.94011976047904,16.421725276702862,36,121,0,1,0,1,1,1,0
45,1,21.903819436004085,18.076470786420618,1.2117309675547199,43.096038816792884,298,0.7095238095238096,0.9430379746835443,316,0.5647446603726758,19.47884453275087,65.11269837220809,113.7248322147651,14.514218467541612,79,150,37.348993288590606,9.278991334977409,14,58,79.59395973154362,11.409384622971062,47,100,0,1,0,1,1,1,0
46,1,34.75106273481338,19.965500163394314,1.7405555808978737,125.08013891716988,539,0.6439665471923537,0.9625,560,0.8184840877771999,26.196872229566885,89.74011537017762,102.08905380333952,24.498825287707668,65,170,31.87569573283859,17.853385143023182,7,87,65.7847866419295,20.585449553101153,38,126,0,1,0,1,1,1,0
47,1,43.34026294020478,28.122728184758905,1.5411116110595915,63.14111661403903,923,0.72109375,0.9584631360332295,963,0.7608888224354354,34.28119163317628,119.49747468305833,113.88190682556879,20.40309198000427,67,168,40.7919826652221,14.592925632565116,7,82,84.47670639219935,16.14440016717194,48,132,0,1,0,1,1,1,0
48,3,40.00591831897943,11.605408199872599,3.447178904006031,90.30180043948644,362,0.8438228438228438,0.9653333333333334,375,0.9569986766115587,21.468877828012552,86.62741699796952,91.6353591160221,19.82491508229498,60,149,27.19889502762431,14.887764225729613,5,68,64.88950276243094,14.462332490947706,43,107,0,1,0,1,1,1,0
49,3,40.735163872105026,10.146280952470141,4.014787690477656,78.95782030239508,316,0.6583333333333333,0.9239766081871345,342,0.9684831259728178,20.0585068271871,89.45584412271572,143.16455696202533,18.28323599570392,111,193,70.43354430379746,19.065145183177393,33,122,114.44620253164557,17.099308358490052,79,161,0,1,0,1,1,1,0
50,2,22.364447306674865,16.20404679675655,1.3801766674205975,68.57850701716052,279,0.7459893048128342,0.9489795918367347,294,0.6892275760871024,18.847647942942654,62.2842712474619,99.9605734767025,16.111235900816844,74,145,31.50537634408602,15.398848108421955,1,79,68.93548387096774,14.613152458175097,41,114,0,1,0,1,1,1,0
51,1,38.54415367821416,24.016813489717986,1.604882083741691,117.82733536576319,724,0.7182539682539683,0.9705093833780161,746,0.7821431860557815,30.361578193306386,102.91168824543142,88.2707182320442,13.157300518826279,60,125,21.024861878453038,7.324140106240429,2,43,55.13812154696133,8.673974205380892,33,79,0,1,0,1,1,1,0
52,1,24.190694244522874,22.579329690428064,1.071364587708638,8.362877795107067,425,0.8049242424242424,0.9615384615384616,442,0.3588660436711511,23.26213245840639,76.2842712474619,118.24235294117648,8.31215094227705,96,138,34.1764705882353,7.16129543093531,14,53,72.29882352941176,7.2788249555518245,50,94,0,1,0,1,1,1,0
53,2,20.085918348857046,13.00033329012502,1.5450310311747313,93.7100567085187,197,0.7576923076923077,0.9516908212560387,207,0.7622895202742417,15.837556323903858,54.834523779156065,113.87817258883248,13.259816044488131,92,160,47.07106598984772,17.69926510220359,18,95,86.77664974619289,11.722721351392705,65,124,0,1,0,1,1,1,0
54,1,33.47068444330159,27.20007270914081,1.230536579854564,95.37178961472146,710,0.7244897959183674,0.9646739130434783,736,0.5827470309136902,30.066594033278285,99.74011537017762,108.26760563380282,14.623690740942548,82,162,39.3,15.590946271275609,11,94,80.91408450704225,15.625356746572134,55,133,0,1,0,1,1,1,0
55,3,16.593590767215414,11.86846669468598,1.3981242222843389,56.15415236832593,152,0.7238095238095238,0.9681528662420382,157,0.6988747962334916,13.911592676604096,45.45584412271572,130.72368421052633,14.09283009586092,102,159,48.901315789473685,12.876314377682327,17,75,90.75,17.293233389179466,51,124,0,1,0,1,1,1,0
56,1,15.385476978623567,15.258972687524496,1.0082904854533554,118.51529804826926,184,0.8177777777777778,0.968421052631579,190,0.1279727719605988,15.306079714651624,47.798989873223334,118.9836956521739,17.37954680685662,87,162,56.80978260869565,13.213617480056804,32,89,103.52173913043478,12.701829944222489,81,133,0,1,0,1,1,1,0
57,2,24.317007979668368,20.239757070253464,1.2014476209009086,67.7432083294506,386,0.7658730158730159,0.9698492462311558,398,0.5542815311201305,22.16913314200113,70.76955262170047,103.90673575129534,15.503855653413524,78,151,46.94041450777202,15.818893204380736,22,105,93.03626943005182,13.119172007628737,69,142,0,1,0,1,1,1,0
58,1,18.37230361603621,17.086477679205732,1.07525400851899,103.43301838555506,239,0.7810457516339869,0.9637096774193549,248,0.36752710997758,17.44431859350499,57.21320343559643,88.38912133891213,16.030150947365367,63,137,21.627615062761507,8.83598996037551,7,54,55.18410041841004,9.98448578587431,40,91,0,1,0,1,1,1,0
59,1,43.950688393888946,19.17340261998824,2.2922737953705945,178.12410568987647,639,0.8452380952380952,0.9711246200607903,658,0.8998264436585495,28.523675588636344,105.4558441227157,114.41471048513301,26.631817067471047,69,209,42.098591549295776,25.00337344164335,1,135,77.92331768388107,25.3899553341961,31,169,0,1,0,1,1,1,0
60,3,20.38200782537077,12.27353957882588,1.6606462784813516,166.8065196433236,163,0.5224358974358975,0.8316326530612245,196,0.7983639721577866,14.406180819073164,61.59188309203678,114.79141104294479,13.342792446819237,86,148,47.079754601226995,10.092201687892716,19,73,85.14723926380368,12.237543123662078,48,112,0,1,0,1,1,1,0
